osculum, , der Kuss, LW_4_Historia_Apollonii
nescio quid, , irgendetwas, LW_4_Historia_Apollonii
invitare, , einladen, LW_4_Historia_Apollonii
molestus, a; um, lästig; unangenehm, LW_4_Historia_Apollonii
exponere, expono; exposui; expositum, aussetzen; darlegen, LW_4_Historia_Apollonii
finire, , beenden, LW_4_Historia_Apollonii
redire, redeo; redii; reditum, zurückgehen; zurückkehren, LW_WH4_Historia_Apollonii
dolere, , schmerzen; wehtun; bedauern, LW_WH4_Historia_Apollonii
aut, , oder, LW_WH4_Historia_Apollonii
unde, , woher, LW_WH4_Historia_Apollonii
velle, volo; volui, wollen, LW_WH4_Historia_Apollonii
igitur, Adv., also; folglich, LW_WH4_Historia_Apollonii
casus, us, der Fall; der Zufall, LW_WH4_Historia_Apollonii
fundere, fundo; fudi; fusum, (aus) gießen; zerstören
