tranquillus, a um, ruhig; friedlich, LW_3_Historia_Apollonii
innocens, entis, unschuldig, LW_3_Historia_Apollonii
naufragus, , der Schiffbrüchige, LW_3_Historia_Apollonii
misereri, misereor; miseritus sum m. Gen., Mitleid haben mit; sich erbarmen, LW_3_Historia_Apollonii
litus, oris, die Küste; der Strand, LW_WH_3_Historia_Apollonii
propter, Präp. m. Akk., wegen, LW_WH_3_Historia_Apollonii
itaque, Adv., deshalb, LW_WH_3_Historia_Apollonii
auxilium, , die Hilfe, LW_WH_3_Historia_Apollonii
lacrima, , die Träne, LW_WH_3_Historia_Apollonii
aequus, a um, eben; gerecht; gleich, LW_WH_3_Historia_Apollonii
tollere, tollo; sustuli; sublatum, aufheben; in die Höhe heben; beseitigen, LW_WH_3_Historia_Apollonii
