
naufragium, , der Schiffbruch, LW_5_Historia_Apollonii
divitiae, arum, der Reichtum, LW_5_Historia_Apollonii
decipere, decipio; deceptum (m. Abl.), betrügen (um etw.), LW_5_Historia_Apollonii
magister, tri, der Lehrer, LW_5_Historia_Apollonii
regina, , die Königin, LW_5_Historia_Apollonii
facies, ei, das Gesicht, LW_5_Historia_Apollonii
color, oris, die Farbe, LW_5_Historia_Apollonii
votum, , der Wunsch; das Gelübde, LW_5_Historia_Apollonii
tradere, trado; tradidi; traditum, übergeben; überliefern, LW_WH_5_Historia_Apollonii
quoniam, Subj. m. Ind., da ja; da nun, LW_WH_5_Historia_Apollonii
coniunx, coniugis, der Gatte; die Gattin, LW_WH_5_Historia_Apollonii
facere, facio; feci; factum, machen; tun; handeln, LW_WH_5_Historia_Apollonii
legere, lego; legi; lectum, lesen; auswählen, LW_WH_5_Historia_Apollonii
sentire, sentio; sensi; sensum, fühlen; meinen; wahrnehmen, LW_WH_5_Historia_Apollonii
manus, us, die Hand; die Schar (vom Bewaffneten), LW_WH_5_Historia_Apollonii
intellegere, intellego; intellexi, (be)merken; verstehen, LW_WH_5_Historia_Apollonii
cupere, cupio; cupivi; cupitum, verlangen; wünschen, LW_WH_5_Historia_Apollonii

